63cda340c79eef0c3636b5a5,8176136857,NOT SPECIFIED,35738004,1.67442E+12,22/01/2023 20:57:36 CST,luxury mountain villa with stunning pacific view - breakfast included,en_ca,83,spectacular view and all the comforts of home,The power went out once during our seven day stay,HR_REVIEWTEXT,"The steep trip up the mountain in our rented 4x4 was worth it as we found ourselves in a luxurious and comfy home with likely one of the most spectacular views in the area of Ojochal. Steve and April were quick to get back to us with any concerns or questions when booking and planning our trip. April went above and beyond with sending us pics of the road up to the home as I was concerned about finding the place arriving at night. Once there (which wasn’t difficult to find) Flora and Toño made our stay comfortable and homey with full hearty breakfasts each morning and kept the home comfortably clean and organized. They too answered any questions we had via google translate.
As you can imagine, we spent most of our time outside on excursions or around the luxurious poolside that included a hot tub for the cooler nights and cabana with BBQ etc for outdoor dining. Not that we needed a BBQ being minutes to Ojochal - the known foodie area of Costa Rica with a plethora of exceptional restaurants. At approx 2000’ above sea level we were comfortable enough not to need air conditioning, however they had it if we wanted it. The only thing I wish we had was screens to keep the doors and windows open at night as the cool breeze was lovely and i much prefer it over air conditioning. The power went out once during our seven day stay, but within seconds their backup generator came on, leaving the cityscape dark while our lights and amenities remained fully functioning. Although the birds, small lizards and butterflies were plentiful, we didn’t see much else, likely due to all the dogs in the area, barking at anything that would come near the property. Even though we loved the dogs, this could be a deterrent if you you don’t. If you are planning a trip to the quiet South Pacific area of Costa Rica where flora and fauna abound and want an incredible view and luxurious home with large pool area you should definitely check this home out. Would I stay at this place again? - in a heartbeat."
63d467539666321e773b53d1,8178393993,NOT SPECIFIED,34400271,1.67486E+12,28/01/2023 00:07:47 CST,"lux condo w/views, htd pool, priv. beach, golf cart, kayaks, as seen on hgtv",en_us,83,very relaxing,Only reason there are not 5 stars is that we lost power 4 different days.,HR_REVIEWTEXT,One of the prettiest beaches on the island! Our unit 1A was very clean and nicely decorated. It was fun to drive the golf cart to the beach. Only reason there aren’t 5 stars is that we lost power 4 different days. A generator would be nice!
63d163498d64e77a77d42b07,8177362956,NOT SPECIFIED,19007907,1.67467E+12,25/01/2023 17:13:24 CST,"pebble beach house for magnificent ocean & perfect golf, on the old 17 miles dr.",en_us,83,pebble beach stay,The power went out the first night we were there but Roger the property manager brought us up a cooler to put our food in until the power was turned back on which was very well appreciated.,HR_REVIEWTEXT,"Location of the home was wonderful. It fit our needs. The power went out the first night we were there but Roger the property manager brought us up a cooler to put our food in until the power was turned back on which was very well appreciated. I do wish that there was some type of a fireplace access inside the home, but there was a small gas fire pit outside which was lovely and we enjoyed it every day. Overall the stay was wonderful and it was very well priced for the type of home that we had"
63d511dd436cf46034d60014,8178546329,NOT SPECIFIED,21718017,1.67491E+12,28/01/2023 12:15:24 CST,1 mile to ski at palisades * dog friendly * pool table,en_us,83,"nice property, great location","Everything was good, except that there was a power outage and we were without heating for almost 48 hours.",HR_REVIEWTEXT,"Everything was good, except that there was a power outage and we were without heating for almost 48 hours. The property manager only recommended us to light the fire, not very attentive. We had to sleep beside the fireplace because it was freezing inside the house"
63d3e93c6a492d5b5bb8d1b8,8178210265,NOT SPECIFIED,89056944,1.67483E+12,27/01/2023 15:09:48 CST,"5-star | historic, peaceful, dog-friendly",en_us,83,love this house!,We “survived” the power outage just fine as it was restored within a couple hours.,HR_REVIEWTEXT,"They did SUCH a great job with this house. It’s so well decorated and READY for guests - you’ll see what I mean when you stay. Everything is labeled with directions and it truly seems like they thought of everything. 

Only issue we had was the power went out and with young kids we were nervous about it getting too cold and their milk/food spoiling. Apparently this is an issue in this area bc we heard the neighbors generator turn on immediately. Unfortunately, the generator for this house was being installed on the Monday after we left, so we didn’t have that luxury, but future renters will have backup. :) We “survived” the power outage just fine as it was restored within a couple hours. 

The kitchen is a bit smaller than it looks in photos. just a heads up that it could get a little tight in there, especially for bigger people. 

Also, the 3rd bedroom is really a loft in the upstairs office and there’s a metal spiral staircase going up. We thought this would be where my 5yo would sleep until we saw the spiral staircase. That made us nervous if he got scared or woke up in the middle of the night. Luckily, there was an air mattress with all the necessary linens that he could use instead. The loft might be ideal for kids, but probably better for older kids (middle school to college-aged, IMO). The ceiling is slanted and I don’t know if you could stand straight up there to be honest. 

All in all, it was a great place to stay. We felt comfortable in the home, it was a great location, and we’d definitely stay here again."
63d3e93c6a492d5b5bb8d1b8,8178210262,NOT SPECIFIED,89056944,1.67483E+12,27/01/2023 15:09:48 CST,"5-star | historic, peaceful, dog-friendly",en_us,83,love this house!,Only issue we had was the power went out and with young kids we were nervous about it getting too cold and their milk/food spoiling.,HR_REVIEWTEXT,"They did SUCH a great job with this house. It’s so well decorated and READY for guests - you’ll see what I mean when you stay. Everything is labeled with directions and it truly seems like they thought of everything. 

Only issue we had was the power went out and with young kids we were nervous about it getting too cold and their milk/food spoiling. Apparently this is an issue in this area bc we heard the neighbors generator turn on immediately. Unfortunately, the generator for this house was being installed on the Monday after we left, so we didn’t have that luxury, but future renters will have backup. :) We “survived” the power outage just fine as it was restored within a couple hours. 

The kitchen is a bit smaller than it looks in photos. just a heads up that it could get a little tight in there, especially for bigger people. 

Also, the 3rd bedroom is really a loft in the upstairs office and there’s a metal spiral staircase going up. We thought this would be where my 5yo would sleep until we saw the spiral staircase. That made us nervous if he got scared or woke up in the middle of the night. Luckily, there was an air mattress with all the necessary linens that he could use instead. The loft might be ideal for kids, but probably better for older kids (middle school to college-aged, IMO). The ceiling is slanted and I don’t know if you could stand straight up there to be honest. 

All in all, it was a great place to stay. We felt comfortable in the home, it was a great location, and we’d definitely stay here again."
63d87e623e981a33202ba03f,8179634866,NOT SPECIFIED,46071086,1.67513E+12,31/01/2023 02:35:14 CST,"incredible location with beach and ocean panoramic views, this home has it all !",en_us,83,winter on moody beach.,The house has a Generac backup generator which did not turn on when the power went off.,HR_REVIEWTEXT,"We spent a week at the beach in January in our second visit to this beautiful home. There are not a lot of stores or restaurants open but it is wonderful to be at the seashore at that time of year. However, winter in Maine can be tricky. We experienced a snow/ice storm which resulted in an area-wide power outage. The house has a Generac backup generator which did not turn on when the power went off. We contacted Olivia who immediately contacted an electrician and boiler repairman. We felt lucky that these very busy tradesmen were able to come over soon and remedy the problem, particularly since much of the area remained out of power for up to several days. Putting that experience behind us, we enjoyed a very peaceful stay and are grateful to Olivia for her prompt efforts to help us. We would not hesitate to stay here again."
63d30e06f2665f7dc4a160e2,8177917710,NOT SPECIFIED,87372795,1.67478E+12,26/01/2023 23:34:30 CST,the chickaree cabin at mt rainier (166),en_us,83,cute cabin,"Unfortunately, the power went out the night we stayed here",HR_REVIEWTEXT,"It was a very cute little cabin! The hot tub was a nice touch. Unfortunately, the power went out the night we stayed here and the generator was unable to be turned on. But other than that, it was great little get away!"
63cf3c3e1fd93d35e3d08e5c,8176664428,NOT SPECIFIED,40191306,1.67453E+12,24/01/2023 02:02:38 CST,ocean view jungle villa pool jacuzzi fibre optic near beaches concierge service,en_us,83,tropical paradise !,"We had power outages every day, but it was only out for 1 or 2 minutes a day.",HR_REVIEWTEXT,"We used Nacho for Airport transfer from SJO. We would recommend that for those that have never driven in Costa Rica before. We rented a car from Uvita the next day. The roads are steep and curvy but very passable in dry season. The villa is better than the pictures can capture. We were mostly here to see the jungle and birds, wildlife etc. We were pleased with what all there is to see right from the deck. We had monkeys on the deck rail 2 out of the 7 days! Toucans, Aracaris, Tanagers, Honeycreepers, and many more other species daily. The gardener showed a sloth and its baby to us one day in a tree beside the parking area. So cool! Very friendly and helpful service personnel were there upon our arrival. We had power outages every day, but it was only out for 1 or 2 minutes a day. However, I think a back-up generator was being installed while we were there. We had a problem with the pool but Nacho and Lucie were very quick to remedy that even on a weekend. If you are looking for 1st class location and villa this will not disappoint. We would book this again without hesitation if we have the opportunity. Thank you, Lucie and Cameron, for sharing your piece of paradise with our family."
63cd873f068219295dce613a,8176096574,NOT SPECIFIED,33480282,1.67441E+12,22/01/2023 18:58:07 CST,"join a pleasant, peaceful, an available owner,",fr_fr,83,maison chaleureuse et confortable,"Maison très propre et confortable, nous n' avons pas souffert des coupures d' eau et d' électricité",HR_REVIEWTEXT,"La propriétaire vous accueille avec le sourire et de gentilles attentions. Maison très propre et confortable, nous n'avons pas souffert des coupures d'eau et d'électricité car tout est prévu pour. 10 mn en voiture de sainte anne et c'est la baignade dans une eau claire. Nous recommandons cette location."
63cfdad113f8552458fc9ece,8176856402,NOT SPECIFIED,18956266,1.67457E+12,24/01/2023 13:19:13 CST,private | lg. 4b | free resort access incl.| parking | tennis| pay plan etc,en_us,83,nice unit,Power was a bit spotty and went out a few times.,HR_REVIEWTEXT,"Overall unit was as described. Power was a bit spotty and went out a few times. 

Kitchen was very well equipped. The unit could use some love on the maintenance side of things. Overall I would stay there again"
63cf835bf0cec5545a0fc507,8176743380,NOT SPECIFIED,88671176,1.67454E+12,24/01/2023 07:06:03 CST,spacious townhome - short walk to beach!,en_us,83,lovely townhouse,Host was quick to respond when we had a random power issue.,HR_REVIEWTEXT,We absolutely enjoyed our stay. Loved that there were toys there for my son. Host was quick to respond when we had a random power issue. Overall great experience!
63da1a462a670463d683eb9e,8180087722,NOT SPECIFIED,33964885,1.67524E+12,01/02/2023 07:52:38 CST,"t2 any comfort for 2 people in family residence, calm and raised",fr_fr,83,emplacement et accès moyen,"chemin d' accès en grosses pierres non égalisées premier jour coupure de courant pendant 2 heures, meme pas une bougie sur place??",HR_REVIEWTEXT,"chemin d'accès en grosses pierres non égalisées
premier jour coupure de courant pendant 2 heures, meme pas une bougie sur place??"
63cf7d8d566f2e28afbe898e,8176742562,NOT SPECIFIED,33942605,1.67454E+12,24/01/2023 06:41:17 CST,bird watch @ land's end with amazing views of the harbor and pacific ocean,en_us,83,five star adventure,"The first night, 1:29 am, to be exact, all power went out in the entire Bodega Bay area due to fallen trees and branches.",HR_REVIEWTEXT,"We cannot say enough about how wonderfully both the owner and the local property manager handled things during our stay during the recent “atmospheric cyclone” in Northern California. The first night, 1:29 am, to be exact, all power went out in the entire Bodega Bay area due to fallen trees and branches. The owner and manager gave us directions immediately about emergency supplies and we really appreciated the wall-outlet flashlights that lit up immediately when the power failed, We were able to light the gas stove with matches, so we had tea while we enjoyed the storm. The propane fireplace worked, as well, so we were warm and cozy. The next morning, Erika called to see how we were doing and asked the local rep to bring new flashlights and a butane lighter for the stove, The power was out for 22 hours, but we enjoyed every minute. The rest of the week was rainy, and Erika texted us each day to see how we were doing. Beds were comfy, the kitchen perfectly provisioned and the views both peaceful and spectacular, We shall return for retreats as often as possible,"
63ce7d0152d0033cddc7f18e,8176401248,NOT SPECIFIED,45850582,1.67448E+12,23/01/2023 12:26:41 CST,"the ""howling wolf""  a cozy, ski chalet with private hot tub. ski in/out.",en_ca,83,amazing stay at big white,"During a freak accident that caused a power outage throughout the mountain, Paul and Vivien came and dropped off torches and flashlights for us, without us even asking.",HR_REVIEWTEXT,"Our group of 8 had an amazing stay. Vivien and Paul were super helpful, and responded to any questions we had right away. 
The chalet was fully equipped, and with ski in/ski out access it was the perfect spot for a weekend at Big White. 
During a freak accident that caused a power outage throughout the mountain, Paul and Vivien came and dropped off torches and flashlights for us, without us even asking. They were amazing hosts. 

Thank you Vivien and Paul, we had an amazing trip!"
63d5edb8e2f44476020540f5,8178838650,NOT SPECIFIED,34400271,1.67496E+12,28/01/2023 00:07:47 CST,"lux condo w/views, htd pool, priv. beach, golf cart, kayaks, as seen on hgtv",en_us,83,very relaxing,Only reason there are not 5 stars is that we lost power 4 different days.,HR_REVIEWTEXT,One of the prettiest beaches on the island! Our unit was very clean and nicely decorated. It was fun to drive the golf cart to the beach. Only reason there aren’t 5 stars is that we lost power 4 different days. A generator would be nice!
63da8284f9145235e399f276,8180206861,NOT SPECIFIED,82909207,1.67526E+12,01/02/2023 15:17:01 CST,the pineapple express,en_ca,83,noisy apt and poor communication during stay,"The power for the TV, Internet, and Fridge all went out on my 4th day.",HR_REVIEWTEXT,"This unit's bedroom is right beside TWO noisy elevators. The building is old so these are two very noisy clunky elevators. I bought ear plugs to ""survive"" my 5 night stay. The power for the TV, Internet, and Fridge all went out on my 4th day. Turns out that the breaker panel is in the hallway - I ended up resetting the breakers myself - but it's crazy to have a breaker panel that any tenant could meddle with in an open hallway. On my last day there I was given a new code to open the main entrance door to the building. The explanation to use the new code was totally inadequate - I ended up standing out in the cold for 10 minutes at 12:45 am while trying to figure out how to get into the building. I ended up having to WAKE UP the superintendent to get into the building. Not a happy experience. The unit had a nice clean bathroom, the bed was comfortable and the kitchen had ""barely adequate utensils which were all very old and very well used. I would not trust Tanor to rent me any of his other units - this was overall a very annoying and unsatisfactory experience."
63d73672788e963ea69070ea,8179314285,NOT SPECIFIED,89735205,1.67505E+12,30/01/2023 03:16:02 CST,stylish penthouse with ocean views and beach access,en_ca,83,great condo,We ran into a couple issues the first day due to a city-wide power outage as the generator did not kick in right away.,HR_REVIEWTEXT,"We ran into a couple issues the first day due to a city-wide power outage as the generator didn't kick in right away. Property manager was very responsive and helped us work through everything. I cannot express enough how great the property manager was!
Beds were very comfortable, but there was only one thick/firm style of pillow that will not work for stomach sleepers.
Pool or ocean are both a 5 minute walk away. And you are in walking distance to a few different restaurants. Twisted Lime was my personal fave. Just make sure you aren't starving before you get to the restaurant as service is quite a bit slower than we are used to in Canada. 
NOTE: Bon Vivants cafe and cocktail bar is directly below the primary bedroom. If you are an early to bed person, this would be an issue due to the late-night noise. However, we didnt understand hurricane doors - you have to pull the handle up to make the door shut properly. We didn't figure this out until midstay, which lessened the noise.
We went with our two children, 10 and 12, and felt quite safe. 
You can take the #10 bus to downtown Nassau. Route goes along the coast and is about a 20 minute ride. Bus can be caught anywhere on the side of the main road by flagging them down. And when you want to get off, just say ""bus stop"". Fare is $1.50 per person. NOTE: Do NOT take the #10A is this route winds inland and takes significantly longer. Cabs were more expensive than we were expecting, and they charge additional for more than two people ($50 to downtown one way for 5 people).
Overall, a really great place to stay, but everything was significantly more expensive than we were expecting in the Bahamas."
63d95b30604eaf359ecd8ad4,8179883572,NOT SPECIFIED,21864054,1.67519E+12,31/01/2023 18:17:18 CST,"style+space in sunny kona! full kitchen, private lanai, wifi, tv, laundry kanaloa 1602",en_us,83,"bad management/communication, unclean unit and power outages","On top of all that, the power went out the next evening while I was trying to get ready for a dinner party and had to use the flashlight on my cell phone in order to shower and get dressed, which was quite difficult.",HR_REVIEWTEXT,"This was of the WORST experience I have ever had through VRBO. Check in details were lacking, which resulted in me not getting into my unit until very late in the night, and once I did get in, I discovered the unit had not been cleaned since the last guest stayed there and there were also no sheets on the bed. This was very disappointing and frustrating given that I had been traveling and working all day and was exhausted by the time I got to the unit and then had to sit on the phone for several hours with VRBO reps trying to get the mess sorted out. On top of all that, the power went out the next evening while I was trying to get ready for a dinner party and had to use the flashlight on my cell phone in order to shower and get dressed, which was quite difficult. It's a shame that this was not better managed because the location and surrounding community were great."
63de8c13fdb5ca48504e71b9,8181385507,NOT SPECIFIED,42672396,1.67553E+12,04/02/2023 16:47:13 CST,superb luxury villa 10 minutes away from the beach,fr_fr,83,"très belle maison, bien placé bien équipé, l’accueil est très agréable et la propriétaire elle l’éco",On est obligé de fermer les volets si on peut pas avoir les moustiques si il y a des coupures d' électricité alors là à part ça tout était parfait,HR_REVIEWTEXT,"Le seul des grands agrément que j’ai pu constater à cette maison, c’est le manque les fenêtres ce qui fait que le soir on peut pas juste fermer la fenêtre. On est obligé de fermer les volets si on peut pas avoir les moustiques si il y a des coupures d’électricité alors là à part ça tout était parfait"
63dd171b2218f85ee7338f21,8180962450,NOT SPECIFIED,34088116,1.67543E+12,03/02/2023 14:15:55 CST,*high season specials* exceptional beachfront 2br condo in cupecoy/private beach,en_us,83,best location on the cliff,"The screen on the bedroom sliding glass door to the balcony was trashed, so we could not open it for the lovely breeze that is available in the evening & also for air when the power went out!",HR_REVIEWTEXT,"Property was a bit worn from comparison with the pictures. The property description proclaimed there were lounge chairs on the balcony overlooking the sea, when in actuality there were 4 plastic, hard, upright chairs that were not at all conducive to relaxation & a half-broken wooden table to place your drink on! We would have liked to spend more time on the balcony, but the chairs were too uncomfortable. The balcony handrails were all rusted and needed repair, while the neighboring condo rails were in great shape. We were allowed in early to enjoy the pool/beach, as the cleaning lady knew she had to work well after 5PM to make it right for us from the mess left behind from the previous renter. She was super! There were dirty dishes left in the dishwasher undone, & a frying pan with food still attached was found in the oven. We had to clean all the utensils, pots, & dishes that we wanted to use before we could use them. There was minimal TV service, & were told upon check-in that we would have to have our own subscription to Hulu, or Netflix etc, which we don""t subscribe to. This needs to be addressed in the description of the property for those without subscriptions, as internet service was our only access to outside news - when it was working. The screen on the bedroom sliding glass door to the balcony was trashed, so we could not open it for the lovely breeze that is available in the evening & also for air when the power went out!- which may have been a blessing since there were 2 stray cats that took up residence on our 1st floor balcony during the night. The master bath shower area is cave-like & really needed a power vent to remove the moisture, but that was broken. The stove top is barely working, as the touch pad is so worn it is difficult to adjust the temperature & to turn on & off. The paint on the ceiling is peeling off in the common kitchen area, & the refrigerator water/ice machine with the filter is inop so no potable water. The condo has the absolute BEST location in the entire complex with direct access to the pools & the beach is just steps away. Good parking is available close to the front door & is by gated access only with guard 24/7. This poor condo needs some TLC and it would be absolutely awesome!! We enjoyed St Maarten and this building location gives easy driving access to both the French & Dutch side restaurants, and the airport, while providing a very peaceful & restful atmosphere. Just needs a little TLC!"
63cee491873b0056ddcf41fe,8176548975,NOT SPECIFIED,30083224,1.6745E+12,23/01/2023 19:48:33 CST,emily's inn a beautiful private setting with pretty mountain views,en_us,83,nice property when you have electricity & water...,We went to Stowe on Dec. 23 and found that many businesses had experienced a power outage also and were closed.,HR_REVIEWTEXT,"My family and I stayed at this property over Christmas. It is a nice house - when the power is on. A major storm came through and the power was out for 34 hours (from Dec. 23 - 10:00 pm Dec. 24). It is bad enough not to have electricity for that long (the sun went down around 4:30 pm and came up around 7:00 am), but even worse, at this house you don't have water when the electricity is out. That means that you can't flush toilets, shower, or cook. 

We got in touch with the owner about the electricity and she was responsive and communicated with local authorities about it. She kept in touch with us. We were told at least 5 times that the power would be on 'soon' but it didn't happen. 

We went to Stowe on Dec. 23 and found that many businesses had experienced a power outage also and were closed. We had no choice but to use the bathrooms at the house, even though they couldn't be flushed. We spent the night of Dec. 23 by the fire trying to keep warm and woke up on Christmas Eve hopeful that the power would be on 'soon' and we could enjoy our vacation. It didn't happen and we spent most of the day in the house with toilets full of excrement. My husband finally got some snow, melted it on the stovetop (which is gas), and put it in the toilet tanks to allow us to flush the toilets. This process literally took hours to be able to flush all four toilets. We ended up renting one hotel room (there weren't many options on Dec. 24) so my 79-year old father could sleep in a warm room and we could all take a shower and use a toilet that flushed! The owner said she would pay for the hotel room, but we had prepaid for it, and she didn't refund any of the money to our credit card.

Regarding the property itself, it is a nice, spacious house. However, furnishings are pretty outdated, some things do not work well, and the lighting is low in most rooms. For example, the shower head in the master bedroom had a hard spray that could not be adjusted, so I took my showers in the bathroom by the hot tub. The couch in the game room is uncomfortable because you slip off the cushions and the cushions don't stay in place. The game room is nice but there aren't any comfortable seats. Be aware that it is 10+ minute drive to downtown Stowe and a 20+ minute drive to the mountain. 

Would I recommend this property? IF the electricity is working, I would rate it a 4. If you stay here, pray that the electricity does not go out!"
63de18b1965c2f51d0aa2c20,8181259379,NOT SPECIFIED,22234680,1.6755E+12,04/02/2023 08:34:57 CST,"3759 pacific grove retreat ~ walk to aquarium, cannery row and downtown!",en_us,83,winter near monterey bay,Good provisions for power outages.,HR_REVIEWTEXT,"Mid-century modern home with well-chosen furnishings. Spacious living areas and kitchen with facilities for entertaining. Library, piano, guitar, games, and internet provided activities for rainy days. Private front courtyard, and deck with BBQ. Laundry in basement through garage. 
Good provisions for power outages. Good supply of linens, towels, and basic provisions. Only negative: King size mattress needs replacing."
63ceb4b9f18e8a4e73179321,8176479824,NOT SPECIFIED,74923093,1.67449E+12,23/01/2023 16:24:25 CST,gray manor - deer run manors,en_us,83,safe location,Propane fireplace saved us when the power went out.,HR_REVIEWTEXT,"Nice little cabin in a safe location near most popular sites. Bring your own entertainment: cards, books, DVDs. Most cases do not have movies in the DVDs that are supplied. Propane fireplace saved us when the power went out. Would stay again."
63ce950e939a6f740b04a05e,8176433691,NOT SPECIFIED,19625295,1.67448E+12,23/01/2023 14:09:18 CST,heavenly views and private pool,en_us,83,awesome view,Only had one day that electricity went out.,HR_REVIEWTEXT,"Place was awesome view. We will miss it. Just enough space for two. We elected to have joy meet us to show us how to get there. She was big help. The pool is salt and not heated. Was bummed about that. Spacious deck for both sun and shade. We were there for two weeks. Only had one day that electricity went out. Place has back up generator. But when electric goes out whole island so does wifi. So we went to beach that day. If u rent a Jeep from st Thomas and ferry over on car barge. Make sure u get on same company going back. There are more than one. And if u get on wrong one u will pay extra. Definitely need a Jeep if u are going to do any driving around island. Beaches are awesome. Trunk beach is world famous but I think I liked cinnamon beach better. They both have restrooms,showers, restaurants, drinks, souviners. Maho beach has all but showers. Those 3 beaches are best ( my opinion). U have to pay 5,00 pp at trunk bay to get in. All have small parking. So get there EARLY to park.all roads are hilly winding curves. For Some may be challenging or others fun. Gas / hot deli / grocery store mid way from Cruze bay to coral bay is good. We did a lot of driving around and packed a lunch. We had a great time and would go back. AWESOME VIEW."
63d710ed68cd783f631678c3,8179264383,NOT SPECIFIED,21865033,1.67504E+12,30/01/2023 00:35:56 CST,rock squirrel: cute and cozy one bedroom in the upper canyon!!,en_us,83,cozy beautiful cabin!,"Our power went out, and as soon as I text the owner they were over in minutes to fix the problem!",HR_REVIEWTEXT,"My stay was amazing, it was a romantic getaway! 
The owners of cabin are always in touch, they are there if you need anything! Check in process was very easy! 
Our power went out, and as soon as I text the owner they were over in minutes to fix the problem! 
Bed was so comfortable, living room was relaxing, amenities were great! 
Gas stove, and bbq grill were great! 
I would definitely come back!"
63d0989f68cd783f630665c8,8177155841,NOT SPECIFIED,83716832,1.67461E+12,25/01/2023 02:49:02 CST,the grey escape - cozy farmhouse w/ 3 king suites + loft near atv/utv trails,en_us,83,we stayed during christmas and it was a great escape!,The town near us lost power and some places lost water.,HR_REVIEWTEXT,We stayed during Christmas 2022 and there was freezing temps. The town near us lost power and some places lost water. We didn’t have any issues affect us but the property manager communicated quickly and went above and beyond our expectations. This was a great place for my family and we loved the separate spaces to escape the young kiddos that came with us 😃would absolutely stay here again!!
63d476ab7aa2326de37750e3,8178422060,NOT SPECIFIED,33933080,1.67487E+12,28/01/2023 01:13:14 CST,"by the sea - seaside paradise, newly renovated & furnished",en_us,83,nice view and bedding - poor water/power/wi-fi and rocky beach,The power went off intermittently 3-5 times per day.,HR_REVIEWTEXT,"Some pros and cons:

1. Stated in description kid friendly sandy beach: The beach is not a kid friendly swimming beach. It is very rocky. Make sure to have water shoes. While you can snorkel in the water, it does not have a lot in the direct area to offer for habitat or viewing. 
2. The dishwasher didn’t drain making it unusable. Upon arriving it had standing putrid water and dishes in it. We ran it and it leaked so we washed by hand the trip.
3. The water pressure was minimal at best. Even rinsing dishes and showering was hard with no pressure - not uncommon to have such low pressure it dripped. 
4. Upon arrival there was half a roll of toilet paper and a clogged toilet. With the poor water pressure this was a continuous obstacle. 
5. The paddle board had a slow leak and the kyak had a hole. This became a safety concern as children were out in the ocean with sinking equipment. 
6. Wi-Fi was sporadic. Regularly needing to reset the router. It worked as long as only one device was being used but not for streaming or large downloads. If needing Wi-Fi for work, I would recommend getting a backup.
7. The power went off intermittently 3-5 times per day. While this is a common issue on the island, there was no back up generator. If needing to use a CPAP or other critical devices, you will want to bring a secondary power source.
8. Upon leaving there were no instructions besides taking off linens. Which we gathered. We did not sweep thoroughly and they charged a significant fee with a picture of the few things that were swept up. We had left a recycle box because we looked for somewhere to recycle and couldn’t find one and charged over $200 for additional cleaning fees. 

Pros: 
- the view is fantastic
- The washer and dryer work fine 
- Volleyball net is a plus (volleyball was flat without something to pump it up)
- Local dogs are kind and friendly 
- Ac works well
- Screened patio is great for dinners
- While the beach is quite rocky, the beach deck provides a nice place to relax. 
- Beds were comfortable 
- Linens were comfortable and clean"
63de7237ee4ffc5ff534c20a,8181361791,NOT SPECIFIED,78792973,1.67552E+12,04/02/2023 14:56:55 CST,stemwinder 5 - can't beat the location of this spacious townhome! sleeps 11!,en_us,83,great ski in ski out,Texted me the day of arrival to let me know about a power outage at the unit and then updated me through the day about the progress of getting it back on.,HR_REVIEWTEXT,Located right off Powder Monkey lift just a short walk from the downstairs porch to the slopes. Has a wood burning fireplace with wood provided. Just bring something to help get it started. The managers are great to wok with! Texted me the day of arrival to let me know about a power outage at the unit and then updated me through the day about the progress of getting it back on. Were also quick to get back with me about staying an extra night! Will be looking to book this place for next year!
